review,clean_review,sentiment,topic
@AppleSupport causing the reply to be disregarded and the tapped notification under the keyboard is opened😡😡😡,applesupport causing reply disregarded tapped notification keyboard opened,Negative,general
"@105835 Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR https://t.co/znUu1VJn9r",business means lot us please dm name zip code additional details concern rr,Positive,general
@76328 I really hope you all change but I'm sure you won't! Because you don't have to!,really hope change im sure wont dont,Positive,general
"@105836 LiveChat is online at the moment - https://t.co/SY94VtU8Kq or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back",livechat online moment contact option leave message request call back,Negative,queue
@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k,virgintrains see attached error message ive tried leaving voicemail several times past week,Negative,general
"@105836 Have you tried from another device, Miriam ^MM",tried another device miriam mm,Neutral,general
"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too",virgintrains yep ive tried laptop several times past week today ive tried different browsers,Positive,general
"@105836 It's working OK from here, Miriam. Does this link help https://t.co/0m2mpH15eh ? ^MM",working ok miriam link help mm,Positive,general
@VirginTrains I still haven't heard &amp; the number I'm directed to by phone is a dead end &amp; the live chat doesn't work. Can someone call me?,virgintrains still havent heard amp number im directed phone dead end amp live chat doesnt work someone call,Negative,general
@105836 That's what we're here for Miriam 😊  The team should send you an email shortly ^HP,thats miriam team send email shortly hp,Neutral,general
@105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,help version ios find settings gt general gt reply dm,Positive,general
"@105838 @AppleSupport Me too am suffering , hope the can find a solution",applesupport suffering hope find solution,Positive,general
"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?",applesupport hi apple ive concern latest ios slow iphone happy solution please,Positive,delivery
@105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,thanks reaching us always happy help send us dm look together,Positive,general
I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,updated phone suddenly everything takes ages load wtf update sux hate fix bye,Negative,general
"@105840 Hi there! What device is this happening on? If you could also let us know the Android and Spotify versions you're using, that'd be great /AY",hi device happening could also let us know android spotify versions youre using thatd great ay,Positive,general
@SpotifyCares Thanks! Version 8.4.22.857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A (2016) Model SM-T280 Does distance from speaker matter?,spotifycares thanks version armv anker bluetooth speaker samsung galaxy tab model smt distance speaker matter,Positive,general
@105840 Thanks. The distance could possibly affect playback. Does logging out &gt; restarting your device &gt; logging back in make a difference? /AY,thanks distance could possibly affect playback logging gt restarting device gt logging back make difference ay,Positive,general
"@SpotifyCares No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!",spotifycares ive moved speaker metre away skipping mo metres away fingers crossed,Neutral,general
